"Animal","Condition","Date","Type","Name","Rescue ID","Species"
"Isaac","Healthy","1/1/2018 8:14 AM","Adoption","Isaac","C170405","Cat"
"Lotus","Healthy","1/1/2018 4:01 PM","Return to Owner","Lotus","D180001","Dog"
"Dahntay","Healthy","1/1/2018 5:45 PM","Return to Owner","Dahntay","D140180","Dog"
"Coco","Healthy","1/2/2018 1:59 PM","Return to Owner","Coco","C160294","Cat"
"Shadow","Healthy","1/2/2018 4:29 PM","Adoption","Shadow","C170259","Cat"
"Nuala","Healthy","1/2/2018 5:50 PM","Adoption","Nuala","C170373","Cat"
"Jerry Garcia","Healthy","1/2/2018 6:47 PM","Adoption","Jerry Garcia","C170476","Cat"
"Gohan","Healthy","1/3/2018 7:20 PM","Adoption","Gohan","C170432","Cat"
"Negrito","Healthy","1/4/2018 2:33 PM","Return to Owner","Negrito","D170366","Dog"
"Vaquita","Healthy","1/4/2018 2:34 PM","Return to Owner","Vaquita","D170365","Dog"
"Izzy","Healthy","1/4/2018 5:39 PM","Adoption","Izzy","C170150","Cat"
"Scrappy","Healthy","1/5/2018 1:27 PM","Return to Owner","Scrappy","D170356","Dog"
"Babygirl","Healthy","1/5/2018 5:13 PM","Adoption","Babygirl","D170276","Dog"
"Rachel","Healthy","1/6/2018 8:29 AM","Adoption","Rachel","C170469","Cat"
"Morty","Healthy","1/6/2018 8:45 AM","Adoption","Morty","C170540","Cat"
"Daisy Lou","Treatable - Manageable","1/6/2018 1:18 PM","Adoption","Daisy Lou","D170312","Dog"
"Merlin","Healthy","1/6/2018 6:20 PM","Adoption","Merlin","D170376","Dog"
"Abbie","Healthy","1/7/2018 9:44 AM","Adoption","Abbie","C100195","Cat"
"Storm","Healthy","1/7/2018 1:21 PM","Adoption","Storm","D170401","Dog"
"Oliver","Healthy","1/7/2018 4:06 PM","Adoption","Oliver","C140201","Cat"
"Summer","Healthy","1/8/2018 10:56 AM","Adoption","Summer","C170541","Cat"
"Asia","Healthy","1/8/2018 11:42 AM","Adoption","Asia","C170505","Cat"
"Romeo","Healthy","1/9/2018 2:59 PM","Adoption","Romeo","C160321","Cat"
"Smokey","Healthy","1/9/2018 6:24 PM","Adoption","Smokey","D180005","Dog"
"Marina","Healthy","1/10/2018 6:16 PM","Adoption","Marina","D170374","Dog"
"Piper","Healthy","1/11/2018 8:06 AM","Adoption","Piper","C170522","Cat"
"Celeste","Healthy","1/11/2018 7:48 PM","Adoption","Celeste","C170249","Cat"
"Pancake","Deceased","1/12/2018 1:13 PM","Deceased","Pancake","C170365","Cat"
"Falafel","Deceased","1/12/2018 1:15 PM","Deceased","Falafel","C170363","Cat"
"Fifi","Healthy","1/12/2018 4:07 PM","Return to Owner","Fifi","C180005","Cat"
"Winnie","Healthy","1/12/2018 5:14 PM","Adoption","Winnie","C170103","Cat"
"Mittsie","Healthy","1/12/2018 8:05 PM","Adoption","Mittsie","C170393","Cat"
"Joplin","Healthy","1/12/2018 8:12 PM","Return to Owner","Joplin","D170368","Dog"
"Storm","Healthy","1/13/2018 4:14 PM","Adoption","Storm","D170401","Dog"
"Honey","Healthy","1/13/2018 5:09 PM","Adoption","Honey","C110204","Cat"
"Freya","Healthy","1/13/2018 6:36 PM","Adoption","Freya","C160271","Cat"
"Shadow","Healthy","1/13/2018 6:45 PM","Adoption","Shadow","C170437","Cat"
"Marvin","Healthy","1/14/2018 9:27 AM","Adoption","Marvin","C180001","Cat"
"Pedro","Healthy","1/14/2018 10:49 AM","Adoption","Pedro","C170542","Cat"
"Zach","Healthy","1/14/2018 11:50 AM","Return to Owner","Zach","D180012","Dog"
"Sammie","Healthy","1/14/2018 11:50 AM","Return to Owner","Sammie","D180013","Dog"
"Milky Way","Healthy","1/14/2018 3:50 PM","Adoption","Milky Way","D170398","Dog"
"Doc McStuffins","Healthy","1/14/2018 7:27 PM","Return to Owner","Doc McStuffins","C170462","Cat"
"Mara","Healthy","1/14/2018 7:31 PM","Return to Owner","Mara","D170331","Dog"
"Miko","Healthy","1/14/2018 7:38 PM","Return to Owner","Miko","D170329","Dog"
"Mishka","Healthy","1/14/2018 7:40 PM","Return to Owner","Mishka","D170330","Dog"
"Tibbie Piggie","Healthy","1/14/2018 7:43 PM","Return to Owner","Tibbie Piggie","C170463","Cat"
"Jaime","Healthy","1/16/2018 3:15 PM","Adoption","Jaime","C170248","Cat"
"Kingston","Healthy","1/17/2018 2:25 PM","Return to Owner","Kingston","D170314","Dog"
"Mickey","Healthy","1/17/2018 7:09 PM","Return to Owner","Mickey","D180015","Dog"
"Dempsey","Healthy","1/19/2018 8:21 AM","Adoption","Dempsey","C180006","Cat"
"Mushu","Healthy","1/19/2018 2:54 PM","Adoption","Mushu","D180014","Dog"
"Dani","Healthy","1/19/2018 4:17 PM","Adoption","Dani","C170492","Cat"
"Opie","Healthy","1/19/2018 5:53 PM","Adoption","Opie","C170489","Cat"
"Tash","Healthy","1/19/2018 6:49 PM","Adoption","Tash","C170436","Cat"
"Boo Boo","Healthy","1/19/2018 7:39 PM","Adoption","Boo Boo","D170387","Dog"
"Winston","Healthy","1/20/2018 2:13 PM","Adoption","Winston","D180011","Dog"
"Riley","Healthy","1/20/2018 2:19 PM","Adoption","Riley","D170400","Dog"
"Tanner","Healthy","1/20/2018 2:26 PM","Adoption","Tanner","C170250","Cat"
"Lucy","Healthy","1/20/2018 2:32 PM","Return to Owner","Lucy","D180008","Dog"
"Zombie","Healthy","1/20/2018 2:35 PM","Return to Owner","Zombie","D180007","Dog"
"Tucker","Healthy","1/20/2018 3:52 PM","Adoption","Tucker","C170354","Cat"
"Sammy","Healthy","1/20/2018 5:47 PM","Adoption","Sammy","D180006","Dog"
"Paris","Healthy","1/21/2018 5:25 PM","Return to Owner","Paris","D170241","Dog"
"Luke Skywhisker","Healthy","1/22/2018 6:43 AM","Adoption","Luke Skywhisker","C170490","Cat"
"Doodle","Healthy","1/22/2018 6:47 AM","Adoption","Doodle","C170362","Cat"
"Lola","Healthy","1/22/2018 4:07 PM","Return to Owner","Lola","D180016","Dog"
"Coco","Healthy","1/22/2018 4:09 PM","Return to Owner","Coco","D180017","Dog"
"Thor","Healthy","1/23/2018 7:34 PM","Adoption","Thor","D180020","Dog"
"Jenny","Healthy","1/25/2018 4:57 PM","Adoption","Jenny","D170378","Dog"
"Gremlin","Healthy","1/25/2018 5:33 PM","Adoption","Gremlin","D170394","Dog"
"Happy","Healthy","1/25/2018 6:59 PM","Return to Owner","Happy","C170457","Cat"
"Tracer","Healthy","1/25/2018 6:59 PM","Return to Owner","Tracer","C170458","Cat"
"Gumdrops","Healthy","1/26/2018 12:24 PM","Return to Owner","Gumdrops","D170318","Dog"
"Chow","Healthy","1/26/2018 2:12 PM","Adoption","Chow","D180021","Dog"
"Canish","Healthy","1/26/2018 5:26 PM","Return to Owner","Canish","D180010","Dog"
"Bella","Treatable - Manageable","1/26/2018 5:28 PM","Return to Owner","Bella","D180009","Dog"
"Coco","Healthy","1/26/2018 7:11 PM","Return to Owner","Coco","D180017","Dog"
"Lola","Healthy","1/26/2018 7:13 PM","Return to Owner","Lola","D180016","Dog"
"Pablo","Healthy","1/26/2018 7:25 PM","Adoption","Pablo","D170389","Dog"
"Daphne","Healthy","1/27/2018 1:03 PM","Adoption","Daphne","D170385","Dog"
"Denzel","Healthy","1/27/2018 4:47 PM","Adoption","Denzel","D170266","Dog"
"Sweet Pea","Healthy","1/28/2018 7:48 AM","Adoption","Sweet Pea","C180004","Cat"
"Buster","Healthy","1/28/2018 12:15 PM","Transfer","Buster","D180032","Dog"
"Scooby Doo","Healthy","1/28/2018 3:35 PM","Adoption","Scooby Doo","D170383","Dog"
"Georgia","Healthy","1/28/2018 4:49 PM","Adoption","Georgia","D180024","Dog"
"Poppy","Healthy","1/28/2018 4:52 PM","Return to Owner","Poppy","D170189","Dog"
"Lulu","Healthy","1/28/2018 4:53 PM","Return to Owner","Lulu","D160309","Dog"
"Dakota","Healthy","1/30/2018 1:56 PM","Adoption","Dakota","D180023","Dog"
"Cookie","Healthy","1/30/2018 2:06 PM","Adoption","Cookie","C160386","Cat"
"Jessica Reeves 1","Healthy","1/31/2018 4:04 PM","Transfer","Jessica Reeves 1","C180022","Cat"
"Jessica Reeves 2","Healthy","1/31/2018 4:09 PM","Transfer","Jessica Reeves 2","C180023","Cat"
"Winnie","Healthy","1/31/2018 8:03 PM","Return to Owner","Winnie","D180004","Dog"
"Penelope","Healthy","2/1/2018 2:25 PM","Adoption","Penelope","D180027","Dog"
"Harvey","Healthy","2/1/2018 6:58 PM","Adoption","Harvey","D180030","Dog"
"Fred","Healthy","2/1/2018 7:41 PM","Adoption","Fred","D170384","Dog"
"Mac","Healthy","2/1/2018 7:53 PM","Adoption","Mac","D180029","Dog"
"Velma","Healthy","2/2/2018 3:18 PM","Adoption","Velma","D170386","Dog"
"Youta","Healthy","2/2/2018 7:16 PM","Adoption","Youta","D180019","Dog"
"Happy","Healthy","2/3/2018 4:43 PM","Adoption","Happy","C170457","Cat"
"Lilo","Healthy","2/3/2018 5:18 PM","Adoption","Lilo","C180013","Cat"
"Kenobi","Healthy","2/3/2018 5:24 PM","Adoption","Kenobi","C180016","Cat"
